cultura,umidade,ph,status,motivo
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,76.00,7.00,DESLIGADA,Solo molhado
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,10.50,7.00,LIGADA,OK
MILHO,50.50,7.00,LIGADA,OK
MILHO,50.50,7.00,LIGADA,OK
MILHO,50.50,7.00,LIGADA,OK
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,8.00,DESLIGADA,pH fora ideal
MILHO,50.50,7.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,50.50,6.00,LIGADA,OK
MILHO,84.00,6.00,DESLIGADA,Solo molhado
MILHO,84.00,6.00,DESLIGADA,Solo molhado
MILHO,84.00,6.00,DESLIGADA,Solo molhado
MILHO,84.00,6.00,DESLIGADA,Solo molhado
MILHO,84.00,6.00,DESLIGADA,Solo molhado
MILHO,84.00,6.00,DESLIGADA,Solo molhado
MILHO,84.00,6.00,DESLIGADA,Solo molhado
